		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 0.240234	M = 131	N = 8	m = 9	n = 1050
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS   0
000000011    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS   1
000000101    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS   2
000000111    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS   3
000001001    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS   4
000001011    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS   5
000001101    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS   6
000001111    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS   7
000010001    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS   8
000010011    0    0    1    0    0    1    0    0  6.067021 0.639725 SUCCESS   9
000010101    0    0    0    0    0    1    0    0  3.966751 0.860111 SUCCESS  10
000010111    1    0    0    0    0    0    0    0  3.966751 0.860111 SUCCESS  11
000011001    0    1    0    0    0    0    0    1  6.067021 0.639725 SUCCESS  12
000011011    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS  13
000011101    1    1    0    1    0    0    0    0  8.167291 0.417302 SUCCESS  14
000011111    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS  15
000100011    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS  16
000100101    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS  17
000100111    0    0    0    0    0    1    0    1  6.067021 0.639725 SUCCESS  18
000101001    0    1    0    1    0    0    0    2 18.352811 0.018731 SUCCESS  19
000101011    0    0    0    0    1    1    0    0  6.067021 0.639725 SUCCESS  20
000101101    0    0    0    0    0    1    0    0  3.966751 0.860111 SUCCESS  21
000101111    1    0    0    0    0    0    0    0  3.966751 0.860111 SUCCESS  22
000110011    2    0    1    0    0    0    0    0 16.252541 0.038905 SUCCESS  23
000110101    0    0    0    1    1    0    0    1  8.167291 0.417302 SUCCESS  24
000110111    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS  25
000111001    0    1    0    0    0    0    0    0  3.966751 0.860111 SUCCESS  26
000111011    1    0    1    1    0    2    1    0 22.553350 0.003988 FAILURE  27
000111101    0    2    1    1    1    0    0    1 22.553350 0.003988 FAILURE  28
000111111    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS  29
001000011    0    1    0    0    1    0    0    0  6.067021 0.639725 SUCCESS  30
001000101    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS  31
001000111    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS  32
001001011    0    1    0    0    0    0    1    0  6.067021 0.639725 SUCCESS  33
001001101    0    0    2    0    0    0    1    1 18.352811 0.018731 SUCCESS  34
001001111    0    0    1    0    1    2    0    1 20.453080 0.008751 FAILURE  35
001010011    0    0    0    1    0    0    1    1  8.167291 0.417302 SUCCESS  36
001010101    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS  37
001010111    1    0    0    0    0    0    0    0  3.966751 0.860111 SUCCESS  38
001011011    1    0    0    0    0    0    0    0  3.966751 0.860111 SUCCESS  39
001011101    1    0    0    0    0    0    0    0  3.966751 0.860111 SUCCESS  40
001011111    1    0    0    0    0    0    0    0  3.966751 0.860111 SUCCESS  41
001100101    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS  42
001100111    0    0    1    0    0    0    0    0  3.966751 0.860111 SUCCESS  43
001101011    0    0    0    0    0    0    0    1  3.966751 0.860111 SUCCESS  44
001101101    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS  45
001101111    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS  46
001110101    0    1    1    0    0    0    1    0  8.167291 0.417302 SUCCESS  47
001110111    0    0    0    1    0    1    0    0  6.067021 0.639725 SUCCESS  48
001111011    0    1    3    1    3    1    2    2 93.851986 0.000000 FAILURE  49
001111101    0    0    0    0    0    1    0    0  3.966751 0.860111 SUCCESS  50
001111111    0    1    0    2    1    0    0    0 18.352811 0.018731 SUCCESS  51
010000011    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS  52
010000111    1    1    0    0    1    0    0    0  8.167291 0.417302 SUCCESS  53
010001011    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS  54
010001111    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS  55
010010011    0    0    2    0    1    1    2    0 30.638600 0.000163 FAILURE  56
