		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   29   30   34   25   26   22   26   26  6.717295 0.567419 SUCCESS   0
000000011   26   29   25   24   27   29   26   26  2.428990 0.964960 SUCCESS   1
000000101   29   28   28   15   28   23   21   21  7.349486 0.499437 SUCCESS   2
000000111   21   23   17   20   20   27   24   28  5.373476 0.717014 SUCCESS   3
000001001   23   36   27   29   19   25   20   20  9.858389 0.275106 SUCCESS   4
000001011   30   26   28   16   22   24   26   29  6.232064 0.621255 SUCCESS   5
000001101   30   26   30   37   30   29   25   26 11.845653 0.158224 SUCCESS   6
000001111   17   22   18   23   23   30   23   29  6.772240 0.561394 SUCCESS   7
000010001   23   24   22   20   25   30   29   24  3.401438 0.906703 SUCCESS   8
000010011   26   25   27   26   20   27   19   16  5.848778 0.664167 SUCCESS   9
000010101   31   21   21   23   19   12   22   25 10.914247 0.206606 SUCCESS  10
000010111   20   17   22   27   25   25   28   28  4.798878 0.778840 SUCCESS  11
000011001   25   23   30   26   29   17   30   27  6.368432 0.606035 SUCCESS  12
000011011   23   21   27   30   28   29   30   26  5.072937 0.749753 SUCCESS  13
000011101   28   18   20   25   18   26   20   27  6.068555 0.639553 SUCCESS  14
000011111   22   16   21   21   22   23   26   36 10.348254 0.241429 SUCCESS  15
000100011   24   22   18   23   26   30   26   24  3.621216 0.889581 SUCCESS  16
000100101   26   31   22   29   22   19   20   22  5.637606 0.687751 SUCCESS  17
000100111   22   28   24   34   32   25   21   15 11.400802 0.180007 SUCCESS  18
000101001   19   19   27   22   30   22   20   24  5.399293 0.714170 SUCCESS  19
000101011   23   31   18   21   26   12   30   19 13.338417 0.100724 SUCCESS  20
000101101   33   37   36   15   24   18   27   29 22.232116 0.004504 FAILURE  21
000101111   27   19   23   30   25   24   19   25  4.205744 0.838100 SUCCESS  22
000110011   17   28   29   31   28   23   27   20  7.350810 0.499299 SUCCESS  23
000110101   29   21   20   38   28   25   19   23 11.926414 0.154517 SUCCESS  24
000110111   26   27   29   39   25   33   29   26 14.480994 0.070058 SUCCESS  25
000111001   30   19   27   20   26   21   21   35  9.519456 0.300385 SUCCESS  26
000111011   24   18   16   19   21   31   26   33 11.543128 0.172782 SUCCESS  27
000111101   21   19   21   23   33   30   23   28  7.392515 0.494935 SUCCESS  28
000111111   26   24   23   20   24   28   23   32  4.105123 0.847516 SUCCESS  29
001000011   30   25   24   15   24   17   29   26  8.425203 0.393074 SUCCESS  30
001000101   24   26   21   19   23   20   31   24  4.594988 0.799856 SUCCESS  31
001000111   27   23   23   21   21   34   33   37 15.199242 0.055385 SUCCESS  32
001001011   23   27   16   21   25   18   23   24  5.686593 0.682291 SUCCESS  33
001001101   26   24   26   24   23   27   30   21  2.419060 0.965398 SUCCESS  34
001001111   26   21   19   27   22   21   21   21  3.831063 0.872035 SUCCESS  35
001010011   26   24   23   23   36   22   22   29  7.368021 0.497496 SUCCESS  36
001010101   30   24   27   26   15    8   24   19 18.107982 0.020431 SUCCESS  37
001010111   21   29   21   18   25   14   25   26  8.330540 0.401866 SUCCESS  38
001011011   27   34   35   23   26   27   32   27 12.167375 0.143891 SUCCESS  39
001011101   19   26   17   21   35   25   27   21  9.704810 0.286359 SUCCESS  40
001011111   26   22   25   22   18   22   25   22  2.848685 0.943491 SUCCESS  41
001100101   29   22   33   21   23   25   23   24  4.952457 0.762645 SUCCESS  42
001100111   13   29   32   26   31   23   24   17 13.213303 0.104718 SUCCESS  43
001101011   34   22   20   26   24   21   22   32  8.265666 0.407959 SUCCESS  44
001101101   28   28   28   27   26   28   30   27  4.209716 0.837724 SUCCESS  45
001101111   24   25   26   33   26   27   28   21  4.699581 0.789150 SUCCESS  46
001110101   22   26   32   20   27   20   30   23  6.138725 0.631696 SUCCESS  47
001110111   28   22   22   25   31   22   25   27  3.444467 0.903457 SUCCESS  48
001111011   20   24   22   22   33   28   20   27  6.104302 0.635550 SUCCESS  49
001111101   24   19   20   28   21   19   24   30  5.670705 0.684063 SUCCESS  50
001111111   20   24   26   20   21   27   22   24  2.781163 0.947331 SUCCESS  51
010000011   25   19   24   25   20   26   22   29  3.341198 0.911159 SUCCESS  52
010000111   27   18   23   21   30   20   21   27  5.518450 0.700995 SUCCESS  53
010001011   21   25   26   17   36   21   28   20 10.493228 0.232099 SUCCESS  54
010001111   23   24   29   24   19   32   25   26  4.800202 0.778702 SUCCESS  55
010010011   30   26   30   24   20   23   39   24 12.716156 0.121996 SUCCESS  56
010010111   20   20   15   21   23   13   19   21 13.182190 0.105733 SUCCESS  57
010011011   33   24   28   26   21   27   26   23  4.767103 0.782154 SUCCESS  58
010011111   30   22   18   24   24   27   21   21  4.586382 0.800730 SUCCESS  59
010100011   24   26   27   27   19   34   14   25 10.425706 0.236408 SUCCESS  60
010100111   23   22   15   35   30   17   18   29 15.110537 0.057031 SUCCESS  61
010101011   27   20   26   22   14   12   22   21 13.285459 0.102398 SUCCESS  62
010101111   20   29   20   22   21   13   27   23  9.143451 0.330340 SUCCESS  63
010110011   18   25   21   25   27   23   22   20  3.687414 0.884168 SUCCESS  64
010110111   40   36   31   18   17   31   24   34 27.673590 0.000540 FAILURE  65
010111011   22   24   17   21   28   31   17   15 11.515987 0.174141 SUCCESS  66
010111111   21   21   23   30   16   13   30   22 12.456660 0.131962 SUCCESS  67
011000111   32   31   28   16   26   23   16   21 11.501423 0.174873 SUCCESS  68
011001111   14   25   26   30   26   25   27   16  9.433398 0.307063 SUCCESS  69
011010111   31   20   15   25   30   20   22   21  9.305636 0.317173 SUCCESS  70
011011111   31   24   25   35   24   31   27   20  9.589626 0.295018 SUCCESS  71
011101111   27   17   25   22   38   37   21   27 18.206617 0.019730 SUCCESS  72
011111111   24   21   20   22   15   24   26   16  8.405344 0.394909 SUCCESS  73
100000000   29   30   34   25   26   22   26   26  6.717295 0.567419 SUCCESS  74
100010000   20   36   26   21   25   22   29   26  8.384822 0.396810 SUCCESS  75
100100000   28   25   17   20   19   29   23   26  6.026850 0.644224 SUCCESS  76
100101000   26   24   27   27   21   32   22   25  3.885346 0.867317 SUCCESS  77
100110000   28   25   18   14   23   18   21   19 10.421734 0.236664 SUCCESS  78
100111000   19   23   25   24   24   26   30   27  3.071110 0.929816 SUCCESS  79
101000000   19   21   36   29   24   23   24   19  9.654500 0.290117 SUCCESS  80
101000100   32   26   23   26   20   20   30   22  5.960652 0.651640 SUCCESS  81
101001000   28   30   22   23   16   20   26   24  6.128795 0.632807 SUCCESS  82
101001100   20   25   22   16   29   13   17   23 12.870397 0.116387 SUCCESS  83
101010000   18   23   25   23   25   21   22   20  3.483524 0.900465 SUCCESS  84
101010100   24   34   21   27   23   25   26   24  4.902147 0.767982 SUCCESS  85
101011000   24   22   25   26   26   23   24   29  1.469781 0.993198 SUCCESS  86
101011100   29   24   20   24   19   10   22   23 12.074698 0.147902 SUCCESS  87
101100000   21   37   32   24   23   29   22   36 16.598006 0.034578 SUCCESS  88
101100100   19   25   20   14   22   22   27   29  8.321934 0.402671 SUCCESS  89
101101000   32   17   30   18   26   22   23   20  9.085859 0.335105 SUCCESS  90
101101100   14   32   31   28   26   31   28   27 12.216361 0.141808 SUCCESS  91
101110000   30   20   17   25   25   27   20   26  5.713734 0.679262 SUCCESS  92
101110100   33   29   20   18   22   22   32   33 12.655916 0.124250 SUCCESS  93
101111000   36   19   22   22   24   23   24   27  7.807576 0.452489 SUCCESS  94
101111100   24   25   25   29   33   21   26   32  7.115145 0.524262 SUCCESS  95
110000000   27   27   23   19   31   31   26   28  6.241994 0.620145 SUCCESS  96
110000010   26   28   21   18   19   25   21   20  5.440998 0.709568 SUCCESS  97
110000100   23   17   23   24   27   26   19   25  4.136898 0.844566 SUCCESS  98
110001000   21   34   17   25   28   25   30   31 10.470059 0.233570 SUCCESS  99
110001010   17   26   30   22   26   14   27   23  9.060042 0.337256 SUCCESS 100
110010000   19   21   18   17   21   23   27   28  7.185977 0.516707 SUCCESS 101
110010010   30   22   17   25   32   20   22   25  7.434219 0.490588 SUCCESS 102
110010100   29   27   24   30   22   28   24   33  6.454489 0.596460 SUCCESS 103
110011000   28   26   22   20   29   17   25   22  5.196728 0.736358 SUCCESS 104
110011010   30   26   17   28   20   19   22   28  7.154202 0.520091 SUCCESS 105
110100000   28   21   28   31   24   22   23   22  4.011784 0.856059 SUCCESS 106
110100010   26   22   28   21   31   18   22   13 10.720287 0.218057 SUCCESS 107
110100100   27   34   24   30   20   19   29   20  9.299678 0.317650 SUCCESS 108
110101000   20   32   26   25   21   21   25   18  6.120189 0.633771 SUCCESS 109
110101010   21   29   20   23   22   29   24   26  3.545088 0.895662 SUCCESS 110
110101100   17   24   19   32   20   24   27   24  7.128385 0.522847 SUCCESS 111
110110000   20   24   24   23   21   37   19   35 14.129483 0.078452 SUCCESS 112
110110010   24   23   25   12   25   23   18   32 10.898360 0.207525 SUCCESS 113
110110100   25   22   24   18   24   22   21   22  2.983729 0.935374 SUCCESS 114
110111000   27   22   26   21   27   35   21   31  8.512584 0.385064 SUCCESS 115
110111010   28   34   31   21   15   30   26   25 11.986654 0.151800 SUCCESS 116
110111100   37   25   27   19   28   28   19   20 11.418014 0.179120 SUCCESS 117
111000000   33   19   24   22   31   25   24   31  8.334512 0.401495 SUCCESS 118
111000010   24   16   22   23   27   23   25   26  3.815176 0.873402 SUCCESS 119
111000100   21   23   18   37   27   26   19   24 10.671301 0.221028 SUCCESS 120
111000110   22   29   24   17   23   25   20   24  4.391098 0.820227 SUCCESS 121
111001000   17   20   24   22   17   24   27   28  6.551138 0.585741 SUCCESS 122
111001010   24   25   20   25   13   24   19   20  8.422555 0.393319 SUCCESS 123
111001100   30   29   23   20   29   23   22   21  4.841906 0.774332 SUCCESS 124
111010000   24   24   31   32   26   24   21   25  4.927964 0.765247 SUCCESS 125
111010010   15   21   21   25   20   16   28   22  9.337411 0.314637 SUCCESS 126
111010100   19   31   28   24   21   21   27   17  7.221724 0.512910 SUCCESS 127
111010110   26   24   23   26   20   35   23   29  6.868227 0.550915 SUCCESS 128
111011000   22   23   17   25   25   36   30   30 11.037375 0.199590 SUCCESS 129
111011010   29   21   15   22   25   26   21   13 11.490170 0.175441 SUCCESS 130
111011100   30   20   28   23   36   25   29   26  9.504892 0.301508 SUCCESS 131
111100000   40   16   27   27   32   32   27   25 19.072486 0.014477 SUCCESS 132
111100010   29   23   14   30   27   21   19   16 11.889343 0.156210 SUCCESS 133
111100100   21   22   17   24   19   20   29   27  6.296938 0.614008 SUCCESS 134
111100110   34   30   26   18   19   25   19   24  9.569766 0.296530 SUCCESS 135
111101000   25   18   27   30   29   27   26   17  6.977453 0.539067 SUCCESS 136
111101010   19   33   19   30   20   23   25   29  8.748249 0.363977 SUCCESS 137
111101100   24   23   23   19   25   28   25   28  2.536893 0.959988 SUCCESS 138
111101110   24   18   30   24   41   28   25   27 15.605698 0.048384 SUCCESS 139
111110000   22   16   20   31   35   25   29   28 12.121698 0.145856 SUCCESS 140
111110010   21   24   25   30   15   21   27   29  7.256147 0.509265 SUCCESS 141
111110100   19   17   30   21   18   26   22   18  9.193762 0.326215 SUCCESS 142
111110110   32   17   21   23   26   20   23   24  6.357178 0.607289 SUCCESS 143
111111000   23   22   21   25   23   21   28   20  2.772558 0.947810 SUCCESS 144
111111010   21   23   32   27   16   32   23   21  9.315566 0.316379 SUCCESS 145
111111100   24   24   23   22   23   19   23   23  1.823279 0.985958 SUCCESS 146
111111110   24   21   20   22   15   24   26   16  8.405344 0.394909 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   27   31   23   24   24   16   28   18  7.501741 0.483587 SUCCESS   0
000000011   29   22   28   24   29   12   20   28 10.476016 0.233191 SUCCESS   1
000000101   24   24   25   24   15   24   22   18  5.762720 0.673791 SUCCESS   2
000000111   21   25   27   24   24   20   19   23  2.942024 0.937943 SUCCESS   3
000001001   22   30   19   16   25   30   24   21  7.636785 0.469729 SUCCESS   4
000001011   26   26   29   22   20   23   20   26  3.188943 0.921947 SUCCESS   5
000001101   31   35   19   31   22   16   31   18 16.502019 0.035733 SUCCESS   6
000001111   25   24   28   26   14   27   19   22  7.026440 0.533783 SUCCESS   7
000010001   18   25   35   21   19   16   25   24 11.245899 0.188152 SUCCESS   8
000010011   19   20   18   21   23   27   27   22  5.178192 0.738372 SUCCESS   9
000010101   24   24   30   24   20   28   27   20  3.825105 0.872548 SUCCESS  10
000010111   25   18   34   24   25   23   31   24  7.613616 0.472093 SUCCESS  11
000011001   28   32   26   30   30   19   23   36 12.785002 0.119464 SUCCESS  12
000011011   31   30   17   28   21   15   23   22 10.602455 0.225258 SUCCESS  13
000011101   22   21   20   30   25   30   19   24  5.468139 0.706567 SUCCESS  14
000011111   21   19   34   21   14   20   21   28 12.558605 0.127966 SUCCESS  15
000100011   20   23   35   17   12   22   33   26 17.982867 0.021355 SUCCESS  16
000100101   24   27   23   30   29   25   29   26  3.623864 0.889367 SUCCESS  17
000100111   18   25   16   20   23   31   29   18 10.118547 0.256804 SUCCESS  18
000101001   27   24   22   27   25   31   21   22  3.418650 0.905411 SUCCESS  19
000101011   24   23   26   30   27   27   18   19  5.070289 0.750038 SUCCESS  20
000101101   26   24   23   29   31   18   16   28  8.214032 0.412847 SUCCESS  21
000101111   27   27   25   27   22   19   31   26  4.309013 0.828223 SUCCESS  22
000110011   31   35   31   32   28   19   26   41 24.472255 0.001909 FAILURE  23
000110101   20   25   30   24   24   19   26   25  3.536482 0.896340 SUCCESS  24
000110111   28   28   17   17   17   17   34   24 14.287696 0.074568 SUCCESS  25
000111001   27   31   29   28   27   18   22   26  5.953371 0.652455 SUCCESS  26
000111011   27   20   20   23   26   26   17   24  4.551959 0.804213 SUCCESS  27
000111101   25   32   21   29   25   27   21   31  6.487588 0.592785 SUCCESS  28
000111111   27   20   29   25   13   24   25   20  8.364963 0.398655 SUCCESS  29
001000011   21   22   27   26   26   28   29   21  3.173055 0.923032 SUCCESS  30
001000101   30   27   30   28   32   23   12   24 12.545365 0.128479 SUCCESS  31
